# 经教材附录及课文语境人工核对的全量读音审计基准（2026-07-25）。
# counting: new=计入250个识字生字；review=蓝色多音字复习项；write=写字表条目。
section	group	character	pinyin	audio	counting
lesson-26	write	淹	yān	yan1	write
lesson-26	write	逼	bī	bi1	write
lesson-26	write	浮	fú	fu2	write
lesson-26	write	旱	hàn	han4	write
lesson-26	write	徒	tú	tu2	write
lesson-26	write	扔	rēng	reng1	write
lesson-26	write	饶	ráo	rao2	write
lesson-26	write	骗	piàn	pian4	write
lesson-26	write	灌	guàn	guan4	write
lesson-26	write	溉	gài	gai4	write
lesson-27	recognize	拜	bài	bai4	new
lesson-27	recognize	侯	hóu	hou2	new
lesson-27	recognize	肤	fū	fu1	new
lesson-27	recognize	扎	zhā	zha1	review
lesson-27	recognize	剂	jì	ji4	new
lesson-27	recognize	髓	suǐ	sui3	new
lesson-27	recognize	纪	jǐ	ji3	review
lesson-27	recognize	标	biāo	biao1	new
garden-8	recognize	纲	gāng	gang1	new
garden-8	recognize	授	shòu	shou4	new
garden-8	recognize	揍	zòu	zou4	new
garden-8	recognize	键	jiàn	jian4	new
garden-8	recognize	谱	pǔ	pu3	new
garden-8	recognize	锈	xiù	xiu4	new
garden-8	recognize	沫	mò	mo4	new
garden-8	recognize	砖	zhuān	zhuan1	new
garden-8	recognize	矿	kuàng	kuang4	new
garden-8	recognize	综	zōng	zong1	new
garden-8	recognize	氧	yǎng	yang3	new
garden-8	recognize	俱	jù	ju4	new
